program,example_branch_cover_pct,notes
Linear_equation2,100.00,"Linear_equation2	100.00 | PYTEST_FAIL | FF..FF                                                                   [100%] | ============================== warnings summary =============================== | result/test_example.py::test_case_4 | result/test_example.py::test_case_5 |   <ARTIFACT_ROOT>\scientific_calculation_pynguin\Linear_equation2\example.py:18: RuntimeWarning: invalid value encountered in scalar divide |     L[i, k] = (A[i, k] - s) / U[k, k]  # 39 |  | -- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - IndexError: too many indices for... | FAILED result/test_example.py::test_case_1 - TypeError: len() of unsized object | FAILED result/test_example.py::test_case_4 - IndexError: too many indices for... | FAILED result/test_example.py::test_case_5 - TypeError: object() takes no arg... | 4 failed, 2 passed, 2 warnings in 1.57s | "
Linear_equation3,15.87,Linear_equation3	15.87 | PYTEST_FAIL | F                                                                        [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - numpy.linalg.LinAlgError: 0-dime... | 1 failed in 1.05s | 
Linear_equation4,89.29,Linear_equation4	89.29 | PYTEST_FAIL | FFF                                                                      [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: list indices must be ... | FAILED result/test_example.py::test_case_1 - AttributeError: 'list' object ha... | FAILED result/test_example.py::test_case_2 - TypeError: 'bool' object is not ... | 3 failed in 1.47s | 
Linear_equation5,33.33,Linear_equation5	33.33 | OK
Linear_equation6,18.18,Linear_equation6	18.18 | OK
LUDecompositionSolver,17.02,LUDecompositionSolver	17.02 | PYTEST_FAIL |  | =========================== short test summary info =========================== | ERROR result/test_example.py | !!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! | 1 error in 2.25s | 
MatrixExponential1,42.86,MatrixExponential1	42.86 | OK
MatrixExponential2,30.77,MatrixExponential2	30.77 | OK
MatrixExponential3,31.25,MatrixExponential3	31.25 | OK
qr_decomposition,100.00,qr_decomposition	100.00 | OK
Runge_Kutta,100.00,Runge_Kutta	100.00 | OK
solve_equation1,21.05,solve_equation1	21.05 | OK
solve_equation2,20.00,solve_equation2	20.00 | OK
SparseFiniteDifferenceSolver,59.73,SparseFiniteDifferenceSolver	59.73 | OK
Trapezoidal Rule,19.44,Trapezoidal Rule	19.44 | OK
VectorCalculator1,91.67,VectorCalculator1	91.67 | OK
VectorCalculator2,100.00,VectorCalculator2	100.00 | OK
VectorCalculator3,100.00,VectorCalculator3	100.00 | OK
VectorCalculator4,55.00,VectorCalculator4	55.00 | OK
