model,variant,coverage
GPT-4o,Direct LLM-only,89.74490384615385
GPT-4o,Ours v1,93.8546
GPT-4o,Ours v2,87.8334
GPT-4o-mini,Direct LLM-only,87.43538461538462
GPT-4o-mini,Ours v1,84.80163461538463
GPT-4o-mini,Ours v2,85.38298076923077
Qwen2.5-7B,Direct LLM-only,79.20240384615384
Qwen2.5-7B,Ours v1,77.86471153846153
Qwen2.5-7B,Ours v2,80.45903846153846
