category_group,programs_containing_category,target_branches_with_category,avg_pynguin_branch,avg_ours_v1_branch,ours_improvement,avg_direct_llm_only_with_fallback,direct_llm_only_improvement,avg_direct_llm_only_valid_only,direct_llm_only_valid_programs,avg_strong_direct_with_fallback,strong_direct_improvement
Complex Data Dependency,74,225,64.71635135135135,94.7427027027027,30.02635135135135,90.78310810810811,26.06675675675676,92.49230769230769,65,94.17986486486487,29.46351351351352
Cross-Function / Cross-Module Dependency,95,289,63.12105263157895,93.44347368421052,30.32242105263157,89.47073684210525,26.349684210526306,90.75666666666666,87,92.15273684210527,29.031684210526322
Loop/Iteration State Dependency,90,260,62.34411111111111,93.3668888888889,31.022777777777783,89.22844444444445,26.884333333333338,91.553875,80,92.32088888888887,29.976777777777762
