category,pynguin_uncovered_target_branches,Pynguin_missing_targets_covered,Pynguin_missing_targets_coverage_rate,Direct_LLM_only_GPT4o_covered,Direct_LLM_only_GPT4o_coverage_rate,CoverUp_GPT4o_covered,CoverUp_GPT4o_coverage_rate,CodaMOSA_GPT4o_covered,CodaMOSA_GPT4o_coverage_rate,Ours_v1_GPT4o_covered,Ours_v1_GPT4o_coverage_rate
Complex Data Dependency,225,0,0.0,161,71.55555555555554,170,75.55555555555556,53,23.555555555555554,181,80.44444444444444
Cross-Function / Cross-Module Dependency,289,0,0.0,210,72.66435986159169,227,78.54671280276817,63,21.79930795847751,230,79.58477508650519
Loop/Iteration State Dependency,260,0,0.0,185,71.15384615384616,190,73.07692307692307,49,18.846153846153847,209,80.38461538461539
